name,annotated_assign_count,annotated_func_params_count,annotated_func_returns_count,total_assign_count,total_func_params_count,total_func_returns_count,unannotated_assign_count,unannotated_func_params_count,unannotated_func_returns_count,py_code_loc,py_code_loc_ratio,py_docstring_loc,py_docstring_loc_ratio,py_comment_loc,py_comment_loc_ratio,py_empty_loc,py_empty_loc_ratio,pylint_convention_msg,pylint_refactor_msg,pylint_warning_msg,pylint_error_msg,py_non_empty_loc,pylint_score,cyclomatic_complexity,cognitive_complexity,bug_score
walkr/oi,0,0,0,104,109,54,104,109,54,616,0.6531999999999999,92,0.09759999999999999,43,0.045599999999999995,192,0.2036,68,23,28,3,751,6.81,137,147,4
Parrot-Developers/olympe,71,235,99,3423,3372,1558,3352,3137,1459,14384,0.7108,1655,0.0818,1553,0.0767,2645,0.1307,1155,331,761,326,17592,6.43,4093,6089,34
camall3n/onager,0,1,3,329,145,88,329,144,85,1201,0.8098000000000001,13,0.0088,58,0.0391,211,0.1423,184,22,38,7,1272,7.17,257,362,10
xybu/onedrived-dev,0,0,0,713,701,388,713,701,388,3620,0.7026,503,0.09759999999999999,175,0.034,854,0.16579999999999998,791,72,73,60,4298,6.01,917,1343,19
ubermag/oommfc,0,0,0,326,190,107,326,190,107,1748,0.5093,1214,0.35369999999999996,81,0.0236,389,0.1133,145,50,36,31,3043,7.3,346,546,68
OpenSCAP/openscap-daemon,0,0,0,1172,788,386,1172,788,386,4727,0.6118,873,0.113,794,0.10279999999999999,1332,0.1724,613,128,124,36,6394,7.22,1080,1845,66
openseg-group/openseg.pytorch,2,2,1,6793,3347,1162,6791,3345,1161,18342,0.7027,1773,0.0679,1576,0.0604,4412,0.16899999999999998,4354,1052,741,563,21691,3.87,3939,5953,9
redhat-cop/openshift-applier,0,0,0,21,15,7,21,15,7,96,0.6,12,0.075,19,0.1188,33,0.20620000000000002,18,4,11,0,127,6.16,47,88,35
RazerM/orbital,0,0,0,600,466,210,600,466,210,1821,0.5719,402,0.1263,288,0.09050000000000001,673,0.2114,402,67,72,18,2511,5.61,360,379,9
orbkit/orbkit,0,0,0,3940,1100,380,3940,1100,380,10451,0.6065,3568,0.2071,1190,0.0691,2023,0.1174,4186,456,8496,54,15209,0.0,2942,7055,80
Wenzel/oswatcher,29,19,15,557,231,125,528,212,110,1635,0.6861,266,0.1116,200,0.0839,282,0.1183,199,30,14,29,2101,7.37,390,658,55
Yelp/osxcollector_output_filters,0,0,0,552,498,287,552,498,287,2883,0.565,1062,0.20809999999999998,280,0.054900000000000004,878,0.1721,469,80,76,24,4225,6.71,800,972,1
Ori226/p300_lstm,0,0,0,164,75,33,164,75,33,424,0.6328,59,0.08810000000000001,28,0.0418,159,0.2373,131,19,10,20,511,2.33,65,89,0
wbond/package_control,0,0,0,9042,2890,1674,9042,2890,1674,33463,0.5019,21098,0.3164,1755,0.0263,10360,0.15539999999999998,2475,657,803,387,56316,7.49,6827,17642,164
