name,annotated ≥ 20,annotated_ratio,py_code_loc,pylint_convention_msg_norm,pylint_refactor_msg_norm,pylint_warning_msg_norm,pylint_error_msg_norm,cyclomatic_complexity_norm,cognitive_complexity_norm,bug_score_norm
facebookresearch/digit-design,FALSE,0,55,0.145454545,0,0.054545455,0.036363636,0.090909091,0.109090909,0.018181818
notthebee/ytdl-explorer,FALSE,0,43,0.674418605,0.046511628,0.465116279,0,0.11627907,0.139534884,0.023255814
dersphere/plugin.video.nasa,FALSE,0,54,0.148148148,0.018518519,0.018518519,0.018518519,0.092592593,0.074074074,0.277777778
googlefonts/staatliches,FALSE,0,88,0.215909091,0,0.045454545,0.420454545,0.056818182,0.068181818,0.159090909
DadosAbertosDeFeira/iac,FALSE,0,27,0.888888889,0,0,0.111111111,0.222222222,0,0.296296296
Bhupesh-V/memer-action,FALSE,0,40,0.25,0,0.025,0.025,0.15,0.275,0.125
songjinghe/TYS-zh-translation,FALSE,0,16,0.625,0.0625,0.0625,0,0.4375,0.75,0.5
jtpio/jupyterlab-python-file,FALSE,0,80,0.15,0,0,0,0.0875,0.125,0
stanfordnlp/stanza-train,FALSE,0,20,0.25,0.1,0,0.05,0.4,0.45,0.2
commaai/eon-neos,FALSE,0,46,0.282608696,0,0.652173913,0,0.195652174,0.239130435,0.043478261
hax0kartik/luma-hourlies,FALSE,0,25,0.44,0,0.08,0,0.36,0.32,0.24
SublimeLinter/SublimeLinter-rubocop,FALSE,0,35,0.114285714,0.028571429,0.057142857,0.028571429,0.285714286,0.457142857,0.171428571
SublimeLinter/SublimeLinter-rubocop,FALSE,0,35,0.114285714,0.028571429,0.057142857,0.028571429,0.285714286,0.457142857,0.171428571
teamdigitale/api-openapi-samples,FALSE,0,113,0.123893805,0.026548673,0.053097345,0.061946903,0.097345133,0.389380531,0.061946903
DMOJ/docs,FALSE,0,86,0.151162791,0.023255814,0.046511628,0.058139535,0.139534884,0.174418605,0.081395349
TheJacksonLaboratory/loinc2hpoAnnotation,FALSE,0,76,0.421052632,0.039473684,0.171052632,0,0.157894737,0.289473684,0.131578947
shashlik/shashlik-runtime-env,FALSE,0,42,0.380952381,0.023809524,0.095238095,0.023809524,0.285714286,0.404761905,0.095238095
meltwater/terraform-aws-asg-dns-handler,FALSE,0,114,0.149122807,0,0.035087719,0.00877193,0.105263158,0.184210526,0.043859649
ludwiktrammer/django-tagging-autocomplete,FALSE,0,130,0.092307692,0.038461538,0.038461538,0.076923077,0.115384615,0.076923077,0.007692308
orliesaurus/greetingslack,FALSE,0,82,0.390243902,0.012195122,0.304878049,0.036585366,0.182926829,0.329268293,0.085365854
carlthome/tensorflow-convlstm-cell,FALSE,0,84,0.476190476,0.047619048,0.964285714,0.011904762,0.178571429,0.142857143,0.011904762
drduh/macOS-Security-and-Privacy-Guide,FALSE,0,71,0.14084507,0.014084507,0,0.028169014,0.211267606,0.450704225,1.014084507
dydx/Laravel-5-Artisan,FALSE,0,63,0.19047619,0.031746032,0.174603175,0.031746032,0.253968254,0.476190476,0.158730159
JunMa11/COVID-19-CT-Seg-Benchmark,FALSE,0,489,0.216768916,0.030674847,0.237218814,0.00204499,0.034764826,0.067484663,0.00204499
rbaron/omr,FALSE,0,176,0.210227273,0,0,0.005681818,0.096590909,0.142045455,0
CiscoDevNet/sd-wan-ansible-pipeline-code,FALSE,0,74,0.081081081,0.027027027,0.054054054,0,0.22972973,0.675675676,0.013513514
raphiz/nele,FALSE,0,126,0.111111111,0.03968254,0.015873016,0.03968254,0.134920635,0.261904762,0
naufraghi/tinyaes-py,FALSE,0,96,0.208333333,0,0.145833333,0.052083333,0.177083333,0.09375,0.052083333
Shuffle/Shuffle-docs,FALSE,0,61,0.37704918,0.016393443,0.016393443,0.032786885,0.295081967,0.983606557,0.37704918
iktakahiro/hipchatpy,FALSE,0,91,0.21978022,0.032967033,0.032967033,0,0.197802198,0.472527473,0.032967033
tosterkamp/random-redirect,FALSE,0,104,0.326923077,0.019230769,0.192307692,0.019230769,0.173076923,0.307692308,0.057692308
arrowtype/recursive-code-config,FALSE,0,187,0.427807487,0.010695187,0.064171123,0.026737968,0.096256684,0.187165775,0.026737968
dfm/rtds-action,FALSE,0,208,0.182692308,0,0.019230769,0.028846154,0.086538462,0.115384615,0.009615385
empierre/domoticz_gaspar-deprecated,FALSE,0,187,0.481283422,0.021390374,0.128342246,0.026737968,0.101604278,0.278074866,0.016042781
FayasNoushad/GoFile-Bot,FALSE,0,151,0.105960265,0.01986755,0.046357616,0.033112583,0.132450331,0.40397351,0
akamai/cli-firewall,FALSE,0,92,0.22826087,0.010869565,0.010869565,0.010869565,0.22826087,0.326086957,0.195652174
hersonls/frango,FALSE,0,130,0.107692308,0.030769231,0.038461538,0.069230769,0.161538462,0.038461538,0.023076923
Vedza/NitroSniper,FALSE,0,112,0.223214286,0.026785714,0.107142857,0.008928571,0.1875,0.526785714,0.035714286
Vedza/NitroSniper,FALSE,0,112,0.223214286,0.026785714,0.107142857,0.008928571,0.1875,0.526785714,0.035714286
universal-ctags/ctags-win32,FALSE,0,106,0.188679245,0.08490566,0.037735849,0.009433962,0.20754717,0.490566038,2.056603774
DECSIS/docker-barman,FALSE,0,131,0.435114504,0.022900763,0.870229008,0,0.167938931,0.450381679,0.045801527
thomai/SSHKeyDistribut0r,FALSE,0,154,0.25974026,0.019480519,0.032467532,0.025974026,0.142857143,0.5,0.025974026
initstring/lyricpass,FALSE,0,133,0.07518797,0,0.007518797,0,0.165413534,0.345864662,0.015037594
thomai/SSHKeyDistribut0r,FALSE,0,154,0.25974026,0.019480519,0.032467532,0.025974026,0.142857143,0.5,0.025974026
Jvanrhijn/polybar-spotify,FALSE,0,98,0.142857143,0.010204082,0.040816327,0.010204082,0.224489796,0.489795918,0.010204082
yousefissa/Adidas-Sitekey,FALSE,0,141,0.29787234,0.028368794,0.212765957,0.021276596,0.163120567,0.184397163,0
OsciiArt/DeepAA,FALSE,0,271,0.313653137,0.036900369,0.070110701,0.025830258,0.084870849,0.166051661,0.036900369
kovidgoyal/powerline-daemon,FALSE,0,89,0.134831461,0.011235955,0.426966292,0.02247191,0.258426966,0.325842697,0.02247191
OSGeo/Cat-Interop,FALSE,0,125,0.104,0.04,0.04,0.024,0.184,0.28,0.08
hamidfzm/Flask-HTMLmin,FALSE,0,174,0.08045977,0.005747126,0.034482759,0.028735632,0.132183908,0.143678161,0.040229885
ukncsc/stix-cvebuilder,FALSE,0,197,0.015228426,0.015228426,0.015228426,0.07106599,0.121827411,0.355329949,0.030456853
andrei-zgirvaci/Twitch-Farmer,FALSE,0,178,0.230337079,0.02247191,0.101123596,0.033707865,0.140449438,0.651685393,0.033707865
christopherjenness/DBCV,FALSE,0,249,0.152610442,0.004016064,0.068273092,0.072289157,0.100401606,0.072289157,0.016064257
exelban/myo-armband-nn,FALSE,0,186,0.172043011,0.021505376,0.032258065,0.032258065,0.14516129,0.26344086,0
rishi-raj-jain/twitterUsernamefromUserID,FALSE,0,156,0.275641026,0.025641026,0.08974359,0.038461538,0.173076923,0.358974359,0.012820513
HugoLB0/Ransom0,FALSE,0,248,0.318548387,0.024193548,0.10483871,0.012096774,0.108870968,0.306451613,0
